Date,Open,High,Low,Close,Adj Close,Volume
2020-02-13,24.500000,24.500000,23.900000,24.100000,24.100000,15310
2020-02-14,23.700001,24.299999,23.700001,23.799999,23.799999,20990
2020-02-18,24.270000,24.690001,23.980000,24.250000,24.250000,73500
2020-02-19,23.930000,24.059999,23.740000,23.920000,23.920000,68200
2020-02-20,24.030001,25.549999,23.830000,24.690001,24.690001,253600
2020-02-21,25.490000,26.950001,25.320000,26.280001,26.280001,165900
2020-02-24,28.940001,31.330000,28.870001,31.180000,31.180000,354200
2020-02-25,29.940001,35.020000,29.900000,34.110001,34.110001,655400
2020-02-26,32.779999,34.630001,31.920000,33.389999,33.389999,564200
2020-02-27,33.799999,38.099998,33.799999,37.150002,37.150002,415000
2020-02-28,42.990002,44.139999,36.549999,40.599998,40.599998,658900
2020-03-02,39.450001,41.650002,38.160000,38.790001,38.790001,532900
2020-03-03,38.799999,44.279999,37.250000,43.360001,43.360001,1097700
2020-03-04,41.330002,42.880001,39.799999,40.840000,40.840000,391000
2020-03-05,43.549999,48.889999,43.549999,47.099998,47.099998,405400
2020-03-06,54.049999,57.669998,51.799999,52.750000,52.750000,292500
2020-03-09,78.000000,78.000000,58.000000,65.470001,65.470001,365400
2020-03-10,56.810001,65.709999,51.689999,60.099998,60.099998,156100
2020-03-11,65.279999,69.459999,61.500000,66.879997,66.879997,94200
2020-03-12,76.050003,86.440002,75.000000,83.900002,83.900002,229700
2020-03-13,67.059998,87.540001,65.010002,80.000000,80.000000,142200
2020-03-16,95.050003,110.220001,91.010002,106.989998,106.989998,169200
2020-03-17,102.540001,111.330002,97.510002,105.059998,105.059998,170600
2020-03-18,131.000000,144.000000,110.489998,125.000000,125.000000,209300
2020-03-19,149.809998,149.809998,99.739998,110.320000,110.320000,323400
2020-03-20,105.720001,112.360001,94.400002,107.800003,107.800003,248600
2020-03-23,107.000000,107.000000,80.000000,90.680000,90.680000,201800
2020-03-24,74.339996,84.639999,56.009998,84.550003,84.550003,68400
2020-03-25,85.639999,93.320000,84.760002,90.000000,90.000000,117200
2020-03-26,87.430000,87.930000,81.230003,82.250000,82.250000,41200
2020-03-27,89.800003,90.160004,86.339996,89.620003,89.620003,84800
2020-03-30,89.690002,92.000000,86.500000,86.500000,86.500000,52800
